SKU;MPN;MPNR (GTIN/EAN);Marke;Artikelbezeichnung;Kategorie;Benutzerdefiniert;Mein EK-Preis;Mein Preis;Meine Versandkosten;Mein Gesamtpreis;UVP;Preise;Meine Position;Position (Gesamtpreis);Günstigster Preis;Günstigster Anbieter;Günstigster Gesamtpreis;Günstigster Gesamtpreis-Anbieter;Differenz zum günstigsten Preis;Differenz zum günstigsten Gesamtpreis;Medianpreis;Preisvorschlag;Preisvorschlag Info;Preisvorschlag berechnet;Mindestpreis;Standardpreis;Letzte Preisänderung eines Mitbewerbers;Letzter Preisabruf;Im Shop Tracker seit;Auf Watchlist;Aktualisiert im Artikelfeed
X6907749;e955065;4,05457E+12;Cube;Cube Acid Grün Modell Aktion;Fahrräder;m000065217;;899.99;39.99;939.98;1199.0;0;1;1;;;;;;;;1099.99;Kein Mitbewerber gefunden, gehe auf Standardpreis.;2026-03-27 20:01:35 +0100;839.99;1099.99;2025-01-22 05:56:13 +0100;2026-02-06 03:05:23 +0100;2025-01-15 13:53:54 +0100;0;2026-04-08 20:01:38 +0200
X7154489;e1689430;4,05457E+12;Cube;Cube Acid 160 Grün Modell 2026;Fahrräder;m000092256;;299.0;Dez 99;311.99;299.0;4;2;4;259.0;bike-discount.de;259.0;bike-discount.de;40.0;52.99;299.0;;;;329.0;329.0;2026-02-13 05:13:47 +0100;2026-02-06 07:07:21 +0100;2025-01-15 13:53:54 +0100;1;2026-04-08 20:01:38 +0200
X7154490;e1689433;4,05457E+12;Cube;Cube Acid 160 Grün Modell 2026;Fahrräder;m000092256;;299.0;Dez 99;311.99;299.0;3;1;3;299.0;multicycle.de;299.0;multicycle.de;0.0;Dez 99;299.0;;;;329.0;329.0;2026-01-31 02:07:16 +0100;2026-02-06 06:16:38 +0100;2025-01-15 13:53:54 +0100;1;2026-04-08 20:01:38 +0200
X7113697;e1576256;4,05457E+12;Cube;Cube Acid 200 Allroad Blau Modell 2025;Fahrräder;m000088774;;399.0;Dez 99;411.99;399.0;2;2;3;319.0;multicycle.de;319.0;multicycle.de;80.0;92.99;359.0;;;;399.0;399.0;2026-01-31 05:19:18 +0100;2026-02-06 03:07:03 +0100;2025-01-15 13:53:54 +0100;1;2026-04-08 20:01:38 +0200
X6907847;e955353;4,05457E+12;Cube;Cube Acid 200 SLX Weiß Modell Aktion;Fahrräder;m000065200;;499.99;Dez 99;512.98;599.0;0;1;1;;;;;;;;;;;419.99;529.99;2025-03-26 04:06:16 +0100;2026-02-06 06:15:41 +0100;2025-01-15 13:53:54 +0100;0;2026-04-08 20:01:38 +0200
X7113496;e1575737;4,05457E+12;Cube;Cube Acid 240 Grün Modell 2026;Fahrräder;m000088724;;379.0;Dez 99;391.99;379.0;3;1;2;379.0;fahrrad.de;379.0;lucky-bike.de;0.0;Dez 99;379.0;;;;429.0;429.0;2026-02-02 11:33:33 +0100;2026-02-06 07:08:53 +0100;2025-01-15 13:53:54 +0100;1;2026-04-08 20:01:38 +0200
X6907588;e954614;4,05457E+12;Cube;Cube Aim Schwarz Modell Aktion;Fahrräder;m000064166;;449.99;39.99;489.98;599.0;0;1;1;;;;;;;;529.99;Kein Mitbewerber gefunden, gehe auf Standardpreis.;2026-03-27 20:01:35 +0100;419.99;529.99;2025-01-22 05:55:06 +0100;2026-02-06 03:10:17 +0100;2025-01-15 13:53:54 +0100;0;2026-04-08 20:01:38 +0200
X6907589;e954617;4,05457E+12;Cube;Cube Aim Schwarz Modell Aktion;Fahrräder;m000064166;;449.99;39.99;489.98;599.0;0;1;1;;;;;;;;529.99;Kein Mitbewerber gefunden, gehe auf Standardpreis.;2026-03-27 20:01:35 +0100;419.99;529.99;2025-01-22 05:54:53 +0100;2026-02-06 03:10:15 +0100;2025-01-15 13:53:54 +0100;0;2026-04-08 20:01:38 +0200
X6907593;e954629;4,05457E+12;Cube;Cube Aim Grün Modell Aktion;Fahrräder;m000064166;;449.99;39.99;489.98;599.0;0;1;1;;;;;;;;529.99;Kein Mitbewerber gefunden, gehe auf Standardpreis.;2026-03-27 20:01:35 +0100;419.99;529.99;2025-03-03 04:03:16 +0100;2026-02-06 05:56:10 +0100;2025-01-15 13:53:54 +0100;0;2026-04-08 20:01:38 +0200
X6907594;e954632;4,05457E+12;Cube;Cube Aim Grün Modell Aktion;Fahrräder;m000064166;;449.99;39.99;489.98;599.0;0;1;1;;;;;;;;529.99;Kein Mitbewerber gefunden, gehe auf Standardpreis.;2026-03-27 20:01:35 +0100;419.99;529.99;2025-08-15 04:08:31 +0200;2026-02-06 06:44:58 +0100;2025-01-15 13:53:54 +0100;0;2026-04-08 20:01:38 +0200
X6907670;e954828;4,05457E+12;Cube;Cube Aim EX Grau Modell Aktion;Fahrräder;m000065232;;559.99;39.99;599.98;749.0;0;1;1;;;;;;;;669.99;Kein Mitbewerber gefunden, gehe auf Standardpreis.;2026-03-27 20:01:35 +0100;529.99;669.99;2025-07-28 04:07:24 +0200;2026-02-06 07:14:23 +0100;2025-01-15 13:53:54 +0100;0;2026-04-08 20:01:38 +0200
X6907671;e954831;4,05457E+12;Cube;Cube Aim EX Grau Modell Aktion;Fahrräder;m000065232;;559.99;39.99;599.98;749.0;0;1;1;;;;;;;;669.99;Kein Mitbewerber gefunden, gehe auf Standardpreis.;2026-03-27 20:01:35 +0100;529.99;669.99;2025-06-20 04:05:58 +0200;2026-02-06 03:10:09 +0100;2025-01-15 13:53:54 +0100;0;2026-04-08 20:01:38 +0200
X6907675;e954843;4,05457E+12;Cube;Cube Aim EX Braun Modell Aktion;Fahrräder;m000065232;;559.99;39.99;599.98;749.0;0;1;1;;;;;;;;669.99;Kein Mitbewerber gefunden, gehe auf Standardpreis.;2026-03-27 20:01:36 +0100;529.99;669.99;2025-07-21 04:05:32 +0200;2026-02-06 03:10:23 +0100;2025-01-15 13:53:54 +0100;0;2026-04-08 20:01:38 +0200
X6907676;e954846;4,05457E+12;Cube;Cube Aim EX Braun Modell Aktion;Fahrräder;m000065232;;559.99;39.99;599.98;749.0;0;1;1;;;;;;;;669.99;Kein Mitbewerber gefunden, gehe auf Standardpreis.;2026-03-27 20:01:36 +0100;529.99;669.99;2025-04-04 04:06:57 +0200;2026-02-06 03:10:15 +0100;2025-01-15 13:53:54 +0100;0;2026-04-08 20:01:38 +0200
X6907677;e954849;4,05457E+12;Cube;Cube Aim EX Braun Modell Aktion;Fahrräder;m000065232;;559.99;39.99;599.98;749.0;0;1;1;;;;;;;;669.99;Kein Mitbewerber gefunden, gehe auf Standardpreis.;2026-03-27 20:01:36 +0100;529.99;669.99;2025-01-31 05:54:51 +0100;2026-02-06 03:05:40 +0100;2025-01-15 13:53:54 +0100;0;2026-04-08 20:01:38 +0200
X7113709;e1576292;4,05457E+12;Cube;Cube Aim ONE Grün Modell 2025;Fahrräder;m000090468;;499.0;39.99;538.99;549.0;1;2;2;444.0;lucky-bike.de;444.0;lucky-bike.de;55.0;94.99;444.0;;;;549.0;549.0;2026-01-30 15:28:24 +0100;2026-02-06 03:06:56 +0100;2025-01-15 13:53:54 +0100;1;2026-04-08 20:01:38 +0200
X7113710;e1576295;4,05457E+12;Cube;Cube Aim ONE Grün Modell 2025;Fahrräder;m000090468;;499.0;39.99;538.99;549.0;1;2;2;444.0;lucky-bike.de;444.0;lucky-bike.de;55.0;94.99;444.0;;;;549.0;549.0;2026-01-30 10:29:19 +0100;2026-02-06 06:44:44 +0100;2025-01-15 13:53:54 +0100;1;2026-04-08 20:01:38 +0200
X7154279;e1688803;4,05457E+12;Cube;Cube Aim ONE Allroad Grün Modell 2025;Fahrräder;m000092272;;649.99;39.99;689.98;679.0;2;1;2;679.0;lucky-bike.de;679.0;lucky-bike.de;-29.01;Okt 98;679.0;;;;679.0;679.0;2026-03-04 12:17:31 +0100;2026-02-06 06:46:17 +0100;2025-01-15 13:53:54 +0100;0;2026-04-08 20:01:38 +0200
X7154288;e1688830;4,05457E+12;Cube;Cube Aim Pro Schwarz Modell 2025;Fahrräder;m000092274;;549.99;39.99;589.98;599.0;0;1;1;;;;;;;;599.0;Kein Mitbewerber gefunden, gehe auf Standardpreis.;2026-03-13 20:05:04 +0100;599.0;599.0;2026-01-30 12:04:30 +0100;2026-02-06 03:06:57 +0100;2025-01-15 13:53:54 +0100;0;2026-04-08 20:01:38 +0200
X7154289;e1688833;4,05457E+12;Cube;Cube Aim Pro Schwarz Modell 2025;Fahrräder;m000092274;;549.99;39.99;589.98;599.0;0;1;1;;;;;;;;599.0;Kein Mitbewerber gefunden, gehe auf Standardpreis.;2026-03-13 20:05:04 +0100;599.0;599.0;2026-01-30 12:04:30 +0100;2026-02-06 06:28:10 +0100;2025-01-15 13:53:54 +0100;0;2026-04-08 20:01:38 +0200
X6907633;e954717;4,05457E+12;Cube;Cube Aim Pro Grau Modell Aktion;Fahrräder;m000065234;;469.99;39.99;509.98;629.0;0;1;1;;;;;;;;559.99;Kein Mitbewerber gefunden, gehe auf Standardpreis.;2026-03-27 20:01:36 +0100;439.99;559.99;2025-12-15 03:30:37 +0100;2026-02-06 06:44:48 +0100;2025-01-15 13:53:54 +0100;0;2026-04-08 20:01:38 +0200
X6907634;e954720;4,05457E+12;Cube;Cube Aim Pro Grau Modell Aktion;Fahrräder;m000065234;;469.99;39.99;509.98;629.0;1;1;1;549.99;lucky-bike.de;549.99;lucky-bike.de;-80.0;-40.01;549.99;549.99;Angewendeter Preis: 549,99 € (http://schema.org/InStock) bei lucky-bike.de (shop). Keiner ist günstiger.;2026-03-27 20:01:36 +0100;439.99;559.99;2026-01-30 08:13:10 +0100;2026-02-06 07:10:50 +0100;2025-01-15 13:53:54 +0100;0;2026-04-08 20:01:38 +0200
X6907635;e954723;4,05457E+12;Cube;Cube Aim Pro Grau Modell Aktion;Fahrräder;m000065234;;469.99;39.99;509.98;629.0;0;1;1;;;;;;;;559.99;Kein Mitbewerber gefunden, gehe auf Standardpreis.;2026-03-27 20:01:36 +0100;439.99;559.99;2025-11-21 03:30:55 +0100;2026-02-06 07:14:30 +0100;2025-01-15 13:53:54 +0100;0;2026-04-08 20:01:38 +0200
X6907640;e954738;4,05457E+12;Cube;Cube Aim Pro Grün Modell Aktion;Fahrräder;m000065234;;469.99;39.99;509.98;629.0;0;1;1;;;;;;;;559.99;Kein Mitbewerber gefunden, gehe auf Standardpreis.;2026-03-27 20:01:36 +0100;439.99;559.99;2025-12-15 03:20:04 +0100;2026-02-06 07:01:46 +0100;2025-01-15 13:53:54 +0100;0;2026-04-08 20:01:38 +0200
X7154319;e1688923;4,05457E+12;Cube;Cube Aim Race Blau Modell 2025;Fahrräder;m000092278;;649.0;39.99;688.99;649.0;2;1;3;649.0;lucky-bike.de;649.0;lucky-bike.de;0.0;39.99;649.0;649.0;Angewendeter Preis: 649,00 € (http://schema.org/InStock) bei lucky-bike.de (shop). Keiner ist günstiger.;2026-03-25 08:55:12 +0100;649.0;649.0;2026-03-25 08:03:36 +0100;2026-02-06 06:02:52 +0100;2025-01-15 13:53:54 +0100;1;2026-04-08 20:01:38 +0200
X6907645;e954753;4,05457E+12;Cube;Cube Aim Race Schwarz Modell Aktion;Fahrräder;m000065238;;499.99;39.99;539.98;679.0;0;1;1;;;;;;;;619.99;Kein Mitbewerber gefunden, gehe auf Standardpreis.;2026-03-27 20:01:37 +0100;479.99;619.99;2025-08-27 04:12:39 +0200;2026-02-06 06:44:48 +0100;2025-01-15 13:53:54 +0100;0;2026-04-08 20:01:38 +0200
X6907646;e954756;4,05457E+12;Cube;Cube Aim Race Schwarz Modell Aktion;Fahrräder;m000065238;;499.99;39.99;539.98;679.0;0;1;1;;;;;;;;619.99;Kein Mitbewerber gefunden, gehe auf Standardpreis.;2026-03-27 20:01:37 +0100;479.99;619.99;2025-07-28 04:07:55 +0200;2026-02-06 07:14:29 +0100;2025-01-15 13:53:54 +0100;0;2026-04-08 20:01:38 +0200
X7154333;e1688965;4,05457E+12;Cube;Cube Aim Race Allroad Orange Modell 2025;Fahrräder;m000092275;;719.99;39.99;759.98;779.0;2;2;2;623.0;multicycle.de;623.0;multicycle.de;96.99;136.98;701.0;779.0;Angewendeter Preis: 779,00 € (http://schema.org/InStock) bei lucky-bike.de (shop). Keiner ist günstiger.;2026-03-23 20:01:10 +0100;779.0;779.0;2026-01-30 11:35:51 +0100;2026-02-06 03:03:21 +0100;2025-01-15 13:53:55 +0100;0;2026-04-08 20:01:38 +0200
X7154336;e1688974;4,05457E+12;Cube;Cube Aim Race Allroad Orange Modell 2025;Fahrräder;m000092276;;719.99;39.99;759.98;779.0;1;1;1;779.0;lucky-bike.de;779.0;lucky-bike.de;-59.01;-19.02;779.0;779.0;Angewendeter Preis: 779,00 € (http://schema.org/InStock) bei lucky-bike.de (shop). Keiner ist günstiger.;2026-03-23 20:01:10 +0100;779.0;779.0;2026-01-31 10:33:41 +0100;2026-02-06 03:05:25 +0100;2025-01-15 13:53:55 +0100;0;2026-04-08 20:01:38 +0200
X1408744;e589824;4,05457E+12;Cube;Cube Aim SL Grau Modell Aktion;Fahrräder;m000041880;;539.99;39.99;579.98;749.0;0;1;1;;;;;;;;599.99;Kein Mitbewerber gefunden, gehe auf Standardpreis.;2026-03-27 20:01:37 +0100;529.99;599.99;2025-03-03 06:01:14 +0100;2026-02-06 06:08:11 +0100;2025-01-15 13:53:55 +0100;0;2026-04-08 20:01:38 +0200
X1408751;e589842;4,05457E+12;Cube;Cube Aim SL Grau Modell Aktion;Fahrräder;m000041880;;539.99;39.99;579.98;749.0;0;1;1;;;;;;;;599.99;Kein Mitbewerber gefunden, gehe auf Standardpreis.;2026-03-27 20:01:37 +0100;529.99;599.99;2025-05-28 05:21:47 +0200;2026-02-06 07:14:39 +0100;2025-01-15 13:53:55 +0100;0;2026-04-08 20:01:38 +0200
X1408750;e589845;4,05457E+12;Cube;Cube Aim SL Grau Modell Aktion;Fahrräder;m000041880;;539.99;39.99;579.98;749.0;0;1;1;;;;;;;;599.99;Kein Mitbewerber gefunden, gehe auf Standardpreis.;2026-03-27 20:01:37 +0100;529.99;599.99;;2026-02-06 03:05:25 +0100;2025-01-15 13:53:55 +0100;0;2026-04-08 20:01:38 +0200
X6907681;e954861;4,05457E+12;Cube;Cube Aim SLX Grau Modell Aktion;Fahrräder;m000065242;;599.99;39.99;639.98;799.0;0;1;1;;;;;;;;719.99;Kein Mitbewerber gefunden, gehe auf Standardpreis.;2026-03-27 20:01:37 +0100;559.99;719.99;2025-05-21 04:06:46 +0200;2026-02-06 03:05:26 +0100;2025-01-15 13:53:55 +0100;0;2026-04-08 20:01:38 +0200
X6907682;e954864;4,05457E+12;Cube;Cube Aim SLX Grau Modell Aktion;Fahrräder;m000065242;;599.99;39.99;639.98;799.0;0;1;1;;;;;;;;719.99;Kein Mitbewerber gefunden, gehe auf Standardpreis.;2026-03-27 20:01:37 +0100;559.99;719.99;2025-08-06 04:07:45 +0200;2026-02-06 03:05:24 +0100;2025-01-15 13:53:55 +0100;0;2026-04-08 20:01:38 +0200
X6907683;e954867;4,05457E+12;Cube;Cube Aim SLX Grau Modell Aktion;Fahrräder;m000065242;;599.99;39.99;639.98;799.0;0;1;1;;;;;;;;719.99;Kein Mitbewerber gefunden, gehe auf Standardpreis.;2026-03-27 20:01:37 +0100;559.99;719.99;2025-04-14 04:05:07 +0200;2026-02-06 05:58:49 +0100;2025-01-15 13:53:55 +0100;0;2026-04-08 20:01:38 +0200
X6907687;e954879;4,05457E+12;Cube;Cube Aim SLX Weiß Modell Aktion;Fahrräder;m000065242;;599.99;39.99;639.98;799.0;0;1;1;;;;;;;;719.99;Kein Mitbewerber gefunden, gehe auf Standardpreis.;2026-03-27 20:01:37 +0100;559.99;719.99;2025-03-26 04:04:39 +0100;2026-02-06 03:05:27 +0100;2025-01-15 13:53:55 +0100;0;2026-04-08 20:01:38 +0200
X6907688;e954882;4,05457E+12;Cube;Cube Aim SLX Weiß Modell Aktion;Fahrräder;m000065242;;599.99;39.99;639.98;799.0;0;1;1;;;;;;;;719.99;Kein Mitbewerber gefunden, gehe auf Standardpreis.;2026-03-27 20:01:37 +0100;559.99;719.99;2025-08-27 04:15:25 +0200;2026-02-06 03:06:22 +0100;2025-01-15 13:53:55 +0100;0;2026-04-08 20:01:38 +0200
X6907689;e954885;4,05457E+12;Cube;Cube Aim SLX Weiß Modell Aktion;Fahrräder;m000065242;;599.99;39.99;639.98;799.0;0;1;1;;;;;;;;719.99;Kein Mitbewerber gefunden, gehe auf Standardpreis.;2026-03-27 20:01:37 +0100;559.99;719.99;2025-02-17 05:54:57 +0100;2026-02-06 03:10:12 +0100;2025-01-15 13:53:55 +0100;0;2026-04-08 20:01:38 +0200
X7154344;e1688998;4,05457E+12;Cube;Cube Aim SLX Schwarz Modell 2025;Fahrräder;m000092282;;629.99;39.99;669.98;699.0;1;2;2;599.99;lucky-bike.de;599.99;lucky-bike.de;30.0;69.99;599.99;699.0;Mindestpreis erreicht. Günstiger ist nur lucky-bike.de (shop) mit Preis 599,99 € (http://schema.org/InStock).;2026-03-13 20:05:04 +0100;699.0;699.0;2026-02-01 19:10:03 +0100;2026-02-06 03:06:59 +0100;2025-01-15 13:53:55 +0100;0;2026-04-08 20:01:38 +0200
X7154348;e1689010;4,05457E+12;Cube;Cube Aim SLX Grün Modell 2025;Fahrräder;m000092282;;629.99;39.99;669.98;699.0;1;2;2;539.0;fahrrad.de;568.99;fahrrad.de;90.99;100.99;539.0;699.0;Kein Mitbewerber gefunden, gehe auf Standardpreis.;2026-04-07 23:05:08 +0200;699.0;699.0;2026-03-31 22:45:33 +0200;2026-02-06 03:06:48 +0100;2025-01-15 13:53:55 +0100;0;2026-04-08 20:01:38 +0200
X7154349;e1689013;4,05457E+12;Cube;Cube Aim SLX Grün Modell 2025;Fahrräder;m000092282;;629.99;39.99;669.98;699.0;2;3;3;539.0;fahrrad.de;568.99;fahrrad.de;90.99;100.99;569.5;699.0;Mindestpreis erreicht. Günstiger ist nur lucky-bike.de (shop) mit Preis 599,99 € (http://schema.org/InStock).;2026-03-20 08:55:04 +0100;699.0;699.0;2026-03-20 08:15:43 +0100;2026-02-06 03:06:47 +0100;2025-01-15 13:53:55 +0100;1;2026-04-08 20:01:38 +0200
X7154350;e1689016;4,05457E+12;Cube;Cube Aim SLX Grün Modell 2025;Fahrräder;m000092282;;629.99;39.99;669.98;699.0;2;3;3;499.0;bike-discount.de;499.0;bike-discount.de;130.99;170.98;519.0;699.0;Mindestpreis erreicht. Günstiger ist nur bike-discount.de (shop) mit Preis 499,00 €.;2026-03-13 20:05:04 +0100;699.0;699.0;2026-03-11 00:24:14 +0100;2026-02-06 03:07:15 +0100;2025-01-15 13:53:55 +0100;0;2026-04-08 20:01:38 +0200
X7152707;e1684087;4,05457E+12;Cube;Cube AMS Hybrid ONE44 C:68X Race 400X 29 Schwarz Modell 2025;Fahrräder;m000092283;;3949.99;39.99;3989.98;4999.0;0;1;1;;;;;;;;;;;4999.0;4999.0;2026-01-30 09:06:11 +0100;2026-02-06 06:13:53 +0100;2025-01-15 13:53:55 +0100;0;2026-04-08 20:01:38 +0200
X7152708;e1684090;4,05457E+12;Cube;Cube AMS Hybrid ONE44 C:68X Race 400X 29 Schwarz Modell 2025;Fahrräder;m000092283;;3949.99;39.99;3989.98;4999.0;1;1;1;3999.99;lucky-bike.de;3999.99;lucky-bike.de;-50.0;-10.01;3999.99;4999.0;Mindestpreis erreicht. Günstiger ist nur lucky-bike.de (shop) mit Preis 3.999,99 € (http://schema.org/InStock).;2026-03-16 05:41:32 +0100;4999.0;4999.0;2026-03-16 05:41:28 +0100;2026-02-06 03:07:33 +0100;2025-01-15 13:53:55 +0100;0;2026-04-08 20:01:38 +0200
X7103963;e1544190;4,05457E+12;Cube;Cube AMS Hybrid ONE44 C:68X SLT 400X 29 Schwarz Modell 2025;Fahrräder;m000086094;;6199.99;39.99;6239.98;7999.0;0;1;1;;;;;;;;7999.0;Kein Mitbewerber gefunden, gehe auf Standardpreis.;2026-03-31 20:01:39 +0200;7999.0;7999.0;2026-01-19 19:18:06 +0100;2026-02-06 03:06:32 +0100;2025-01-15 13:53:55 +0100;0;2026-04-08 20:01:38 +0200
X7103964;e1544193;4,05457E+12;Cube;Cube AMS Hybrid ONE44 C:68X SLT 400X 29 Schwarz Modell 2025;Fahrräder;m000086094;;6199.99;39.99;6239.98;7999.0;1;2;2;5979.99;lucky-bike.de;5979.99;lucky-bike.de;220.0;259.99;5979.99;7999.0;Mindestpreis erreicht. Günstiger ist nur lucky-bike.de (shop) mit Preis 5.979,99 € (http://schema.org/InStock).;2026-03-31 20:01:39 +0200;7999.0;7999.0;2026-01-31 20:05:32 +0100;2026-02-06 06:24:29 +0100;2025-01-15 13:53:55 +0100;1;2026-04-08 20:01:38 +0200
X7103962;e1544187;4,05457E+12;Cube;Cube AMS Hybrid ONE44 C:68X SLT 400X 29 Schwarz Modell 2025;Fahrräder;m000086094;;6199.99;39.99;6239.98;7999.0;1;2;2;5979.99;lucky-bike.de;5979.99;lucky-bike.de;220.0;259.99;5979.99;7999.0;Mindestpreis erreicht. Günstiger ist nur lucky-bike.de (shop) mit Preis 5.979,99 € (http://schema.org/InStock).;2026-03-31 20:01:39 +0200;7999.0;7999.0;2026-02-01 13:36:15 +0100;2026-02-06 03:06:35 +0100;2025-01-15 13:53:55 +0100;1;2026-04-08 20:01:38 +0200
X7103954;e1544163;4,05457E+12;Cube;Cube AMS Hybrid ONE44 C:68X SLX 400X 29 Blau Modell 2025;Fahrräder;m000086092;;4699.99;39.99;4739.98;5999.0;3;2;2;4699.0;fahrrad.de;4728.99;fahrrad.de;0.99;Okt 99;4779.99;;;;5999.0;5999.0;2026-02-02 20:19:21 +0100;2026-02-06 07:05:09 +0100;2025-01-15 13:53:55 +0100;0;2026-04-08 20:01:38 +0200
X7103955;e1544166;4,05457E+12;Cube;Cube AMS Hybrid ONE44 C:68X SLX 400X 29 Blau Modell 2025;Fahrräder;m000086092;;4699.99;39.99;4739.98;5999.0;3;2;2;4699.0;fahrrad.de;4728.99;fahrrad.de;0.99;Okt 99;4779.99;;;;5999.0;5999.0;2026-02-02 20:19:21 +0100;2026-02-06 06:51:44 +0100;2025-01-15 13:53:55 +0100;0;2026-04-08 20:01:38 +0200
